WarNum,WarName,SideA,episode,EndYr,is_last_endyr,TotalBDeaths,gdppc_diff,partipdem_diff,oil_next,un_pko
804,Angolan Control War of 1976-1991,Angola,1,1991,TRUE,102600,-0.285,0.028,27.0256548842449,1
825,Mozambique War of 1981-1992,Mozambique,1,1992,TRUE,20560,0.0069999999999999,0.00800000000000001,0,0
834,Second South Sudan War of 1983-2002,Sudan,1,1991,FALSE,100000,0.0219999999999998,-0.000999999999999994,0.0174385079751148,0
834,Second South Sudan War of 1983-2002,Sudan,2,2002,TRUE,100000,0.228000000000001,-0.001,6.97515874031986,0
850,Fifth Lebanese War of 1989-1990,Lebanon,1,1990,TRUE,2400,2.27,-0.002,0,1
857,First Liberian War of 1989-1990,Liberia,1,1990,TRUE,3000,-0.451,0.017,NA,0
863,First Sierra Leone War of 1991-1996,Sierra Leone,1,1996,TRUE,7500,-0.264,0.012,0,0
865.8,Second Somalia War of 1991-1997,Somalia,1,1997,TRUE,32070,0.107,0,NA,1
872,Nagorno-Karabakh War of 1991-1993,Azerbaijan,1,1993,TRUE,7000,-2.134,-0.024,38.3122460381466,0
873,Dniestrian Independence War of 1991-1992,Moldova,1,1992,TRUE,1000,-1.147,-0.001,NA,0
876,Tajikistan War of 1992-1997,Tajikistan,1,1997,TRUE,10000,-0.0150000000000001,0.002,0.0467197706947863,1
877,Bosnian-Serb Rebellion of 1992-1995,Bosnia,1,1994,FALSE,48953,NA,NA,NA,1
877,Bosnian-Serb Rebellion of 1992-1995,Bosnia,2,1995,TRUE,48953,NA,NA,NA,1
878,Abkhazia Revolt of 1992-1994,Georgia,1,1993,FALSE,8046,-1.056,0.003,0.187943893963925,1
878,Abkhazia Revolt of 1992-1994,Georgia,2,1994,TRUE,8046,0.0860000000000003,0.00800000000000001,0.170891867189209,1
879,Second Liberian War of 1992-1996,Liberia,1,1995,FALSE,12750,0.0580000000000001,-0.005,NA,1
879,Second Liberian War of 1992-1996,Liberia,2,1996,TRUE,12750,0.233,0.016,NA,1
895,Zaire - AFDL War of 1996-1997,Zaire,1,1997,TRUE,4000,NA,NA,NA,0
897,First Congo-Brazzaville War of 1997,Republic of the Congo,1,1997,TRUE,1000,-0.0760000000000005,-0.032,NA,0
898,Second Sierra Leone War of 1998-2000,Sierra Leone,1,1999,FALSE,2500,0.0419999999999998,-0.001,0,1
898,Second Sierra Leone War of 1998-2000,Sierra Leone,2,2000,TRUE,2500,0.103,0,0,1
902,Guinea-Bissau Military War of 1998-1999,Guinea-Bissau,1,1998,FALSE,2000,-0.036,0.002,0,0
902,Guinea-Bissau Military War of 1998-1999,Guinea-Bissau,2,1998,FALSE,2000,-0.036,0.002,0,0
902,Guinea-Bissau Military War of 1998-1999,Guinea-Bissau,3,1999,FALSE,2000,0,0.025,0,0
902,Guinea-Bissau Military War of 1998-1999,Guinea-Bissau,4,1999,TRUE,2000,0,0.025,0,0
905,Africa's World War of 1998-2002,Democratic Republic of the Congo,1,2002,TRUE,145000,0.0230000000000001,0.003,NA,1
907,Third Angolan War of 1998-2002,Angola,1,2002,TRUE,9600,0.396,0.001,27.1162657537214,1
908,Second Congo-Brazzaville War of 1998-1999,Republic of the Congo,1,1999,TRUE,2500,0.412999999999999,-0.001,NA,0
918,Third Burundi War of 2001-2003,Burundi,1,2003,TRUE,3150,-0.00500000000000012,-0.002,0,0
925,Cote d'Ivoire Military War of 2002-2003,Cote d'Ivoire,1,2002,FALSE,3000,NA,NA,0.547536157690114,0
925,Cote d'Ivoire Military War of 2002-2003,Cote d'Ivoire,2,2003,TRUE,3000,NA,NA,0.868358242832743,1
932,First Waziristan War of 2004-2006,Pakistan,1,2005,FALSE,3000,0.334,-0.003,0.883595451345289,0
932,First Waziristan War of 2004-2006,Pakistan,2,2006,TRUE,3000,0.242000000000001,0.001,0.947147229187945,0
937,Chad-United Opposition War of 2005-2008,Chad,1,2006,FALSE,2500,0.13,-0.003,28.9574096374403,0
937,Chad-United Opposition War of 2005-2008,Chad,2,2008,TRUE,2500,0.103,-0.001,14.6756159361222,1
940.8,Third Somalia War of 2006-2012,Somalia,1,2008,FALSE,11816,0.152,0,NA,0
940.8,Third Somalia War of 2006-2012,Somalia,2,2012,TRUE,11816,0.147,0,NA,0
971,Iraqi Sunni Revolt of 2010-2014,Iraq,1,2014,TRUE,10574,-0.317,-0.00600000000000001,NA,0
973,Second Cote d'Ivoire War of 2011,Cote d'Ivoire,1,2011,TRUE,1000,NA,NA,2.01610713884301,1
976,Libyan Civil War of 2011,Libya,1,2011,TRUE,9000,3.215,0.121,57.6300935046394,0
985,North Mali War of 2012-2013,Mali,1,2013,TRUE,1080,0.0819999999999999,0.103,0,1
990,Central African Republic War of 2012-2013,Central African Republic,1,2013,TRUE,1000,-0.118,0.003,0,0
